ID,SMILES
ZINC000262169595,CCO[C@@H]1C[C@H]1C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)O
ZINC000051903403_1,CCc1cc(NC[C@H](C)[N@H+]2C[C@H](C)O[C@H](C)C2)n2ncnc2n1
ZINC000000116485,O=C(COc1ccc(-c2ccccc2)cc1)N1CCOCC1
ZINC000225638974,Cc1ccccc1-c1noc(=O)n1CCO[C@H]1CCCCO1
ZINC000020992353,CCOC(=O)c1noc2ncnc(NCCc3ccco3)c12
ZINC000004589172,O=C1OC(c2cccc(Br)c2)=N/C1=C\c1ccco1
ZINC000091434082,NC(=O)C[N@H+]1CC[C@H](C(=O)N2CCC[C@@H]2c2ccccc2)CC1
ZINC000084393549,O=C(c1cc2c([nH]c1=O)CCC2)N1CCC[C@@H]1c1ccc(F)cc1
ZINC000028115219,O=C(COC(=O)[C@H]1CCCN1c1ncccn1)NC1CCCC1
ZINC000096421457,O=C(NCC[C@@H]1CCCO1)N1C[C@@H]2C[N@H+]3CCCC[C@H]3[C@H]2C1
ZINC000244899577,CC(=O)N[C@H]1CCCN(Cc2cc(-c3ccncc3)no2)C1
ZINC000069533263,Cc1cc(OCc2cccc(C#N)c2)ccc1NC(=O)c1cn[nH]n1
ZINC000065385363,C[C@@H](Nc1nc(N)nc2ccc(C(=O)O)cc12)c1cnn(C)c1
ZINC000004099501,COC(=O)[C@H]1C(=O)C2=C(C[C@H]1C)NC(=O)C[C@H]2c1cccc(C)c1
ZINC000089382926,C[N@@H+]1CCO[C@@H](C(=O)N(Cc2cccs2)C[C@@H]2CCCO2)C1
ZINC000072239796,CCn1cc(NC(=O)c2cc(C)nc(N3CCCCC3)n2)cn1
ZINC000005006692,COC(=O)CN1C(=O)N/C(=C/c2ccc(OC)c(Cl)c2)C1=O
ZINC000074936356,CN1C(=O)COc2ccc(S(=O)(=O)Nc3ccccn3)cc21
ZINC000003877711,O=[N+]([O-])c1ccc(Cl)c(S(=O)(=O)Nc2ccccn2)c1
ZINC000244899747,Cc1cc(C)cc(CSCC(=O)NCCn2cncn2)c1
ZINC000071288597,Cc1sc2ncc(C(=O)Nc3cccnc3)c(=O)n2c1C
ZINC000048905462,C[C@@H]1CCCC[N@H+]1CCNS(=O)(=O)c1ccccc1F
ZINC000027642053,COc1ccc2c(CN3C[C@H](C)OC[C@@H]3C)cc(=O)oc2c1
ZINC000067956009,c1cnn(Cc2ccc(C[N@@H+]3CC[C@]4(CCC[NH2+]C4)C3)cc2)c1
ZINC000058169153,CC(=O)N[C@@H]1CCCN(C(=O)c2ccc(Oc3cccnc3)cc2)C1
ZINC000000564323,COc1ccc(-c2noc(C[N@H+]3CC[C@H](C(N)=O)CC3)n2)cc1
ZINC000004324734,CCCCc1ccc(NC(=O)NCCN2CCNC2=O)cc1
ZINC000071851047,CC(C)[C@@](C)(C#N)NC(=O)CSc1ccc(S(C)(=O)=O)cc1
ZINC000095407599,N#Cc1ccc([N+](=O)[O-])cc1N1CCN(c2ccc(N)[nH+]c2)CC1
ZINC000000075933,CC(C)NC(=O)Oc1noc2ccc(Cl)cc12
ZINC000074726815,CNC(=O)CN(C(=O)CC[C@@H]1CC[C@H](C)O1)c1ccccc1C
ZINC000007738082,CCNC(=O)NC(=O)[C@@H](C)OC(=O)Cc1c[nH]c2ccccc12
ZINC000194596201,O=C(N[C@@H]1CCCN(Cc2c(F)cccc2F)C1)C(F)F
ZINC000011987210,Cc1cnc(NC(=O)CCc2c(C)[nH]c(=S)[nH]c2=O)s1
ZINC000157472717,O=C1OCc2c1cccc2S(=O)(=O)NCC1(C2CC2)CCC1
ZINC000067850610,CN(CCc1ccccn1)c1ncccc1CNC(=O)C1CC1
ZINC000019340676,CCOC(=O)C1=C(N)c2ccccc2C[C@@H]1C(C)C
ZINC000084535965,O=C(N[C@@H]1COc2ccccc21)[C@H]1CCC[N@H+]1Cc1ccccc1
ZINC000072431667,CN1C[C@]2(CC[N@@H+](Cc3cccc(-c4ccccn4)c3)C2)OC1=O
ZINC000357306909,N#Cc1cccc(C2(NC(=O)C3CN(CC(F)F)C3)CC2)c1
ZINC000072119146,CCS(=O)(=O)N1CCC(C(=O)NC2(C)CCCCCC2)CC1
ZINC000020607193,CCn1nccc1[C@@H]1[C@@H]2C(=O)CCCC2=Nc2nc(SC)nn21
ZINC000020490703,CCOc1cccc(CNC(=O)c2cc(OC)cc(OC)c2)c1
ZINC000299742183,Cc1oc(CNC(=O)[C@@H]2COc3ccccc3O2)cc1C(=O)O
ZINC000080328239,COC(=O)[C@H](NC(=O)c1cc2cc(F)ccc2n1C)C(C)C
ZINC000075606494,CC(C)(C)n1cc(C(=O)N2CCN([C@H]3CCC[C@@H]3O)CC2)cn1
ZINC000219117907,O=C(Cn1cncn1)N1CCS[C@@H](c2ccccc2F)CC1
ZINC000020902164,CCC(CC)C(=O)Nc1nn2c(-c3ccccc3)nnc2s1
ZINC000058161505,COCCn1c(S[C@@H](C)c2nnc(C)o2)nnc1-c1ccncc1
ZINC000045873028,O=C(NCc1ccccc1)NC1(C(=O)NC2CC2)CCCC1
ZINC000092166517,O=C(Nc1ccc2c(c1)COC2)N[C@H](CO)Cc1ccccc1
ZINC000045662255,COc1ccc(CNC(=O)NCCCOc2ccccc2)cn1
ZINC000242183863,O=C(NCc1nc[nH]n1)c1cc([N+](=O)[O-])ccc1Nc1ccccc1
ZINC000032664823_1,C[C@H](C(=O)Nc1ccccc1[N+](=O)[O-])[N@H+]1CCC[C@@H](C(N)=O)C1
ZINC000067730819,Cc1ccc(C(=O)N2CSC[C@@H]2C(=O)NC(C)(C)C)cc1
ZINC000067513666,CC(=O)Nc1ccc(-c2cn([C@@H](C)Cn3nc(C)cc3C)nn2)cc1
ZINC000005362045,C[C@@H](OC(=O)c1cc2c(s1)CCCCC2)C(=O)NC(N)=O
ZINC000241157255_1,CC[N@@H+]1CCCN(c2nc(C(F)(F)F)nc3[nH]cnc23)CC1
ZINC000095635336,CC(C)(C)OC(=O)N[C@@H]1CCc2ccccc2C1=O
ZINC000244601711,CSCCC[N@H+]1CC[C@@H](NC(=O)c2ccccc2)[C@H](O)C1
ZINC000268938817,Cc1cccc(OCCCC(=O)N2CCO[C@H](CC(=O)O)C2)c1
ZINC000069461321,Nc1nccnc1C(=O)N[C@H]1C[C@H]1c1ccccc1C(F)(F)F
ZINC000097575053,Cc1nc2cc(C(=O)N(C)CC[N@@H+](C)C3CCCC3)ccc2[nH]1
ZINC000257302592,Cc1c[nH]c([C@@H]2CCCN2C(=O)c2cc3c(s2)CCC3)n1
ZINC000012923971,O=C(OCc1ccccc1F)c1cccc(N2CCCS2(=O)=O)c1
ZINC000004306358,Nc1nc(NCC(=O)O)nc(Nc2cccc(F)c2)c1[N+](=O)[O-]
ZINC000187085638,CSc1ccccc1S(=O)(=O)N(C)[C@H](C)c1ccccn1
ZINC000169754524,O=C1NC[C@H]([NH2+]C[C@H]2CCCO2)n2nc(-c3cccs3)cc21
ZINC000096436943,C[n+]1cc[nH]c1N1CCN(C(=O)CCCc2ccccn2)CC1
ZINC000253429979,Cc1nccnc1[C@@H](C)[NH2+][C@H](C)c1ccc(-n2ccnc2)cc1
ZINC000091583528,C[C@H](CN1CCOCC1)N(C)Cc1nccn1Cc1ccccc1
ZINC000065382661,Cc1nonc1[C@@H]1CCCN1C(=O)c1cccc(C#CC(C)(C)O)c1
ZINC000062119885,O=C(O)[C@@H]1CCN(S(=O)(=O)c2ccccc2C(F)(F)F)C1
ZINC000093813802,COC(=O)[C@@]1(C)CC[N@@H+](Cc2c[nH]nc2-c2ccc(F)cc2)C1
ZINC000057082185,C[C@H](NC(=O)NC[C@@H]1COCCO1)c1ccc2c(c1)CCCC2
ZINC000065411584,CC[N@@H+](C)CCNC(=O)c1sc(-c2ccc(F)cc2)nc1C
ZINC000252679842,C[N@@H+](CC1CC1)C[C@@H]1CCN(C(=O)CC[C@H]2CCCCO2)C1
ZINC000072135626,CN(Cc1cccnc1N)[C@@H]1CCC[N@@H+](CCc2ccccc2)C1
ZINC000020437235,O=C(CN1CCN(Cc2cccc(Cl)c2)CC1)NC1CC1
ZINC000069593631,O=C(Nc1ccn(-c2ccccc2)n1)N1CCC(n2cncn2)CC1
ZINC000248287692,C[C@H](O)C[NH+]1CCN(C(=O)[C@@H]2C[C@H]2c2ccc(F)cc2)CC1
ZINC000019608751,CCOCC[NH+]1CCN(C(=O)c2cccc3nccnc23)CC1
ZINC000097048738,CCC(=O)c1cccc(NC(=O)N2CCO[C@H](C)[C@H]2C)c1
ZINC000010277510,CC(=O)c1cccc(NC(=O)[C@H](C)[NH2+][C@@H]2CCCC[C@@H]2C)c1
ZINC000065136952,Cc1nc(Cn2cccc2C(=O)N2CCc3ccccc32)no1
ZINC000328593052,Cc1cccc(N2CCC(N3C(=O)[C@@H]4CCCN4C3=O)CC2)n1
ZINC000082134250,COc1ccc(C(=O)N2CCN(Cc3ccc(Cl)cc3)CC2)o1
ZINC000004357731,O=C(CSc1ccc(-c2ccco2)nn1)Nc1ccccc1
ZINC000426533758,CO[C@]12CC[C@H](OCCO)C[C@@H]1[N@@H+](Cc1cccc(O)c1)CC2
ZINC000040040423,O=C(CCNC(=O)NC1CCCCC1)Nc1cccc(Cl)c1
ZINC000244811503,CCOc1cc(CN2CC[N@H+]3CCC[C@H]3[C@H]2C)ccc1OC
ZINC000004061124,Cc1cccc(C(=O)N2CCN=C2SCc2cccnc2)c1
ZINC000004180527,C=CCNC(=S)NCCCCCCCNC(=S)NCC=C
ZINC000012855334,O=C(NCc1ccc(CN2CCOCC2)cc1)c1cc(F)ccc1F
ZINC000012788438,COc1cccc(NC(=O)NCc2ccc(O)cc2)c1
ZINC000000044269,O=C1c2ccccc2C(=O)N1CN1CCCc2ccccc21
ZINC000021009459,CC1(C)C(=O)NCCN1C(=O)c1cccc(Br)c1
ZINC000426415643,COc1ccc(CN(C)C(=O)NC[C@H]2CC[N@@H+](C)C2)cc1OC
ZINC000000127231,CC(=O)N1CCN(c2nc3ccc(Cl)cc3s2)CC1
ZINC000000131871,CCOC(=O)c1cnn(-c2ccc(F)cc2F)c1C
ZINC000027381937,CC[C@@H](CNC(=O)c1cc(C)no1)c1ccccc1
ZINC000083522461,CC1(CNC(=O)C2(c3ccc(Cl)cc3)CC2)COC1
ZINC000072096378,Cc1cc(NC(=O)C(C)(C)C)sc1C(=O)N1CCNC(=O)[C@@H]1C
ZINC000035324329,O=C1C[C@H](c2ccc3c(c2)OCO3)c2ncn(-c3cccnc3)c2N1
ZINC000225604008,COC(=O)c1cc(CNC(=O)c2cc(=O)c(OC)co2)oc1C
ZINC000011109327,CC(=O)Nc1ccc(C(=O)O[C@H](C)C(=O)NCc2ccccc2)s1
ZINC000019810878,COC(=O)C1=C(C)NC2=C(C(=O)CCC2)[C@H]1c1ccc([N+](=O)[O-])o1
ZINC000071765179,O=C(NCCn1[nH]c(=O)ccc1=O)c1ccc(-c2ccccc2)[nH]1
ZINC000070036768,CC(C)(C)OC(=O)N1CC[C@H](OC(=O)c2c[nH]c(=O)c(Cl)c2)C1
ZINC000040486039,C[C@@H]1CN(C(=O)c2ccc(OCC(F)(F)F)nc2)C[C@@H](C)O1
ZINC000000131505,CCc1ccccc1OCC(=O)Nc1nccs1
ZINC000095960186,COC(=O)[C@@H](NCc1cccc(N2CCCC2=O)c1)c1ccccc1
ZINC000050249540,COc1ccc(OCCSCC(=O)Nc2cc(C)nn2C)cc1
ZINC000225410030,c1cncc([C@@H]([NH2+]CCc2cc3ccccc3o2)c2nnc[nH]2)c1
ZINC000373117441,c1ccc2c(c1)cnn2[C@H]1CC[N@H+](CCO[C@H]2CCCCO2)C1
ZINC000096150050,Cc1cc(Cl)ccc1OCC(=O)N1CC[C@](C)(O)[C@@H](O)C1
ZINC000065532061,c1ccc([C@@H]2CCC[N@@H+]2Cc2ccc(-n3cncn3)cc2)nc1
