IDs,smiles,clusters
ZINC000080395852,CC(=O)N1CCC(C(=O)OCCN(C)c2ccccc2)CC1,6
ZINC000225796006,O=C([C@@H]1Cc2ccccc2CO1)N3CC[C@H](Oc4cnccn4)C3,7
ZINC000096072489,O=C(CC1CCCC1)N2CC[C@@]3(C[C@H](Oc4cccnc4)CO3)C2,7
ZINC000013075814,O=C(c1oc2ccccc2c1COc3ccccc3)N4CCOCC4,7
ZINC000053381270,O=C1C[C@H](C(=O)N2CCO[C@H]3CCC[C@@H]32)CN1Cc4ccccc4,7
ZINC000096045961,COc1ccccc1OCC(=O)N2CC[C@@H]3O[C@@H](C)C[C@H]3C2,7
ZINC000000148227,Cc1ccc2oc(=O)n(CC(=O)N3CCOCC3)c2c1,7
ZINC000299799050,COCCN1C[C@H](C(=O)N2Cc3cnc(C)cc3C2)CCC1=O,7
ZINC000181183071,O=C(c1c[nH]c2ccccc2c1=O)N3CCO[C@H](Cc4ccccc4)C3,7
ZINC000121116732,COc1ccc(CN2CCOC[C@@H]2CC(=O)c3ccco3)cn1,7
ZINC000096042112,c1cncc(O[C@H]2CC[C@H]3[C@H]2OCCN3Cc4ccoc4)c1,7
ZINC000096062021,C[C@H]1c2ncc(CN3CC[NH+](C)CC3)n2CCN1Cc4ccccn4,8
ZINC000096184644,c1ccc(N2CC[C@H]3[C@H]2CC[N@@H+]3Cc4cccnc4)nc1,8
ZINC000257283741,Cc1cccc(N2CCC[C@@H]([N@@H+](C)Cc3cnccn3)C2)n1,8
ZINC000257272297,Cc1ccc(C[N@@H+]2CCC[C@H](c3cncc(-n4ccnc4)n3)C2)cn1,8
ZINC000257273691,Cc1nc([C@@H]2CC[N@@H+](Cc3cccnc3)C2)c4sccn14,8
ZINC000328973643,C[NH+](C)CCNc1nc(Nc2ccccc2)cc(-c3ccncc3)n1,8
ZINC000257266319,Fc1ccc(C[N@@H+]2CCC[C@@H](c3cncc(-n4ccnc4)n3)C2)nc1,8
ZINC000097602160,Cc1ncc(C[N@H+]2CCC[C@H](c3ccccc3)C2)n1C,8
ZINC000052418490,C[C@@H](CCC[NH3+])[NH+]1CCN(c2ncccn2)CC1,8
ZINC000097145342,COc1ccc2c(c1)CCC[C@H]2C[NH2+][C@@H]3CCOC3,9
ZINC000004685530,CCC(CC)[NH2+]Cc1ccc(OC)c(C)c1,9
ZINC000000294254,COc1ccccc1C[NH2+]Cc2ccc(C)cc2,9
ZINC000040461086,Cc1ccccc1OC[C@@H](O)C[NH2+][C@@H](C)[C@H](O)c2ccc(O)cc2,9
ZINC000042773515,Fc1ccc(OCC[C@@H]2CCC[NH2+]C2)c(F)c1,9
ZINC000003732286,COc1cccc([C@H]2CCC[NH2+]2)c1OC,9
ZINC000062729550,CC[C@@H](C)Oc1ccccc1C[NH2+]CCOC,9
ZINC000002380020,COc1ccccc1OCCCCCC[NH2+]CCO,9
ZINC000014632365,Cc1cccc(OCC[C@@H]2CCC[NH2+]C2)c1,9
ZINC000020274161,COc1cccc(CC[NH2+]C2CCCCC2)c1,9
ZINC000096246201,Cc1ccc(N2CC[C@H]3CN(C(=O)c4ccccc4)C[C@H]3C2)nn1,10
ZINC000044975099,O=C(Nc1ccccc1)[C@@H]2CCCN(c3cncc(-n4cccn4)n3)C2,10
ZINC000032103061,O=C(NC1CCCCC1)[C@@H]2CCCN(c3ccc4nncn4n3)C2,10
ZINC000062022035,Cc1csc(C(=O)N2CCN(CCn3cccn3)CC2)c1,10
ZINC000075876645,O=C(NCc1nnc2n1CCCC2)c3ccc4ncccc4c3,10
ZINC000208034056,Cc1cc2ncc3c(n2n1)CCN(C(=O)c4cccnc4)C3,10
ZINC000012076452,O=C(Cn1cncn1)N2CCC[C@H](CCc3ccc(F)cc3F)C2,10
ZINC000257338328,Cc1cccc(-c2nccnc2[C@@H]3CCCN(C(=O)c4ccn[nH]4)C3)c1,10
ZINC000191370510,Cc1c(C(=O)N2CCC[C@@H]([NH3+])C2)cnn1-c3ccccc3F,10
ZINC000057354554,Cc1ccc(C(=O)N2CCN(c3ccc(-n4cnnc4)cc3)CC2)cc1,10
ZINC000039956212,Cc1cc(-c2cccc(C(=O)O)c2)on1,11
ZINC000002004362,CCOC(=O)c1c(-c2ccccc2)noc1C,11
ZINC000064033492,COC(=O)c1cnc(-c2ccccc2)o1,11
ZINC000071817214,Cc1ncsc1C(=O)OCc2ccccc2,11
ZINC000008700338,COC(=O)c1c(C)n[nH]c1-c2ccccc2,11
ZINC000014984795,COC(=O)c1cc(Br)c2[nH]ccc2c1,11
ZINC000039339872,O=C(O)[C@@H]1CS[C@H](c2ccc(O)c(O)c2)N1,11
ZINC000000076526,Cc1[nH]c(C=O)c(C)c1C(=O)OCc2ccccc2,11
ZINC000051943265,O=C(O)c1ccc2c(c1)-c3ncsc3C2,11
ZINC000000116781,COc1ccc(S(=O)(=O)Nc2ccnn2C)cc1,12
ZINC000225573693,CNS(=O)(=O)c1nnc(NC(=O)c2ccc(C)cc2)s1,12
ZINC000000380458,Cc1ccc(S(=O)(=O)Nc2nncs2)cc1,12
